code,name,size_category,sector_33,ticker,wave_types,range_high,range_low,range_pct,slope,touch_high,touch_low,touch_total,atr,bandwidth,breakout_days,per,pbr,market_cap
4063,信越化学工業,TOPIX Core30,化学,4063.T,上昇トレンド|高ボラ（荒い）,5618.65,4387.24,24.61,0.001513,7.0,10.0,17.0,222.43,0.1883,1.0,21.01,2.35,10162614042624.0
4088,エア・ウォーター,TOPIX Mid400,化学,4088.T,下降トレンド|ブレイク気味|高ボラ（荒い）,2584.92,2141.78,18.75,-0.00093,16.0,15.0,31.0,92.43,0.179,2.0,5.51,1.08,482489401344.0
4091,日本酸素ホールディングス,TOPIX Mid400,化学,4091.T,下降トレンド|高ボラ（荒い）,5600.15,4646.65,18.61,-0.000962,12.0,16.0,28.0,178.0,0.3433,0.0,22.08,2.02,2364682797056.0
4114,日本触媒,TOPIX Mid400,化学,4114.T,上昇トレンド|ブレイク気味,2416.03,1781.95,30.21,0.00234,7.0,21.0,28.0,53.36,0.1745,6.0,22.73,0.92,357054971904.0
4118,カネカ,TOPIX Mid400,化学,4118.T,上昇トレンド|ブレイク気味,4957.05,4167.7,17.3,0.00113,7.0,19.0,26.0,103.79,0.1336,6.0,11.99,0.63,303060647936.0
4151,協和キリン,TOPIX Mid400,医薬品,4151.T,上昇トレンド|高ボラ（荒い）,2606.58,2256.43,14.4,0.000458,23.0,13.0,36.0,104.89,0.1912,1.0,20.32,1.53,1363163217920.0
417A,ブルーゾーンホールディングス,TOPIX Mid400,小売業,417A.T,データ不足,,,,,,,,,,,18.02,1.89,379850391552.0
4182,三菱瓦斯化学,TOPIX Mid400,化学,4182.T,上昇トレンド|ブレイク気味|高ボラ（荒い）,3330.35,2536.18,27.07,0.002151,7.0,9.0,16.0,180.5,0.5406,6.0,15.13,1.28,814025867264.0
4183,三井化学,TOPIX Mid400,化学,4183.T,上昇トレンド|ブレイク気味|高ボラ（荒い）,2344.4,1783.36,27.18,0.002148,7.0,14.0,21.0,87.11,0.1302,6.0,49.51,1.01,888611536896.0
4186,東京応化工業,TOPIX Mid400,化学,4186.T,上昇トレンド|ブレイク気味|高ボラ（荒い）,7718.5,4574.59,51.15,0.004418,7.0,9.0,16.0,397.07,0.4441,6.0,32.05,4.7,1069210664960.0
4188,三菱ケミカルグループ,TOPIX Large70,化学,4188.T,上昇トレンド|ブレイク気味|高ボラ（荒い）,1087.2,816.58,28.43,0.002169,7.0,13.0,20.0,37.07,0.1914,6.0,42.92,0.82,1519543779328.0
4194,ビジョナル,TOPIX Mid400,情報・通信業,4194.T,下降トレンド|ブレイク気味,11942.25,8467.65,34.05,-0.002533,9.0,9.0,18.0,284.43,0.2183,6.0,19.42,4.12,300618252288.0
4202,ダイセル,TOPIX Mid400,化学,4202.T,上昇トレンド|ブレイク気味,1568.2,1260.1,21.79,0.001104,8.0,13.0,21.0,37.54,0.1803,6.0,11.89,1.09,417471201280.0
4203,住友ベークライト,TOPIX Mid400,化学,4203.T,上昇トレンド|ブレイク気味|高ボラ（荒い）,5533.4,4862.43,12.91,0.000959,8.0,14.0,22.0,182.86,0.146,6.0,25.38,1.52,497990500352.0
4204,積水化学工業,TOPIX Mid400,化学,4204.T,レンジ（波型）|ブレイク気味,2922.82,2569.5,12.87,-0.000147,10.0,18.0,28.0,60.5,0.1188,5.0,17.39,1.46,1195473502208.0
4205,日本ゼオン,TOPIX Mid400,化学,4205.T,上昇トレンド|ブレイク気味,1973.55,1619.83,19.69,0.001663,9.0,15.0,24.0,44.96,0.0955,6.0,10.92,1.05,381351854080.0
4206,アイカ工業,TOPIX Mid400,化学,4206.T,下降トレンド|ブレイク気味,3779.67,3407.8,10.35,-0.000371,16.0,15.0,31.0,68.14,0.1327,4.0,14.9,1.34,239597010944.0
4208,ＵＢＥ,TOPIX Mid400,化学,4208.T,上昇トレンド|ブレイク気味,2790.47,2242.47,21.78,0.001855,8.0,14.0,22.0,66.07,0.1146,6.0,47.4,0.64,272332275712.0
4272,日本化薬,TOPIX Mid400,化学,4272.T,上昇トレンド|ブレイク気味,1846.02,1380.95,28.82,0.002956,8.0,23.0,31.0,36.43,0.0824,6.0,13.02,1.05,284181364736.0
4307,野村総合研究所,TOPIX Large70,情報・通信業,4307.T,下降トレンド|ブレイク気味|高ボラ（荒い）,6287.9,4283.85,37.91,-0.000763,9.0,7.0,16.0,245.79,0.6499,6.0,22.12,4.49,2253124272128.0
4324,電通グループ,TOPIX Mid400,サービス業,4324.T,レンジ（波型）|ブレイク気味|高ボラ（荒い）,3470.1,2797.35,21.47,0.000284,16.0,9.0,25.0,103.93,0.1239,2.0,9.28,2.07,777594142720.0
4385,メルカリ,TOPIX Mid400,情報・通信業,4385.T,上昇トレンド|ブレイク気味|高ボラ（荒い）,3324.45,2205.35,40.48,0.004083,9.0,13.0,22.0,152.64,0.2324,5.0,20.04,5.17,573483384832.0
4401,ＡＤＥＫＡ,TOPIX Mid400,化学,4401.T,上昇トレンド|ブレイク気味|高ボラ（荒い）,4586.7,3277.55,33.29,0.003286,8.0,18.0,26.0,184.86,0.1676,5.0,17.04,1.39,429104201728.0
4403,日油,TOPIX Mid400,化学,4403.T,上昇トレンド|高ボラ（荒い）,3234.1,2604.28,21.58,0.00176,13.0,15.0,28.0,98.54,0.1137,0.0,19.42,2.34,660282146816.0
4452,花王,TOPIX Large70,化学,4452.T,下降トレンド,6761.96,6144.47,9.57,-0.000459,9.0,25.0,34.0,134.86,0.1334,0.0,25.19,2.79,2969019088896.0
4502,武田薬品工業,TOPIX Core30,医薬品,4502.T,上昇トレンド|ブレイク気味,5517.9,4195.75,27.22,0.002067,9.0,14.0,23.0,109.71,0.1736,6.0,78.74,1.15,8777817391104.0
4503,アステラス製薬,TOPIX Large70,医薬品,4503.T,上昇トレンド|ブレイク気味|高ボラ（荒い）,2424.85,1590.14,41.58,0.004,8.0,15.0,23.0,85.21,0.2452,6.0,34.84,2.46,4343274930176.0
4506,住友ファーマ,TOPIX Mid400,医薬品,4506.T,上昇トレンド|ブレイク気味|高ボラ（荒い）,2826.18,1517.65,60.25,0.004656,7.0,8.0,15.0,183.93,0.4326,2.0,8.18,4.38,1264968794112.0
4507,塩野義製薬,TOPIX Large70,医薬品,4507.T,上昇トレンド|ブレイク気味|高ボラ（荒い）,3429.1,2449.78,33.32,0.002354,7.0,9.0,16.0,111.43,0.2557,6.0,17.33,1.95,2958844493824.0
4516,日本新薬,TOPIX Mid400,医薬品,4516.T,上昇トレンド,5879.4,3162.57,60.09,0.006234,8.0,11.0,19.0,131.43,0.1242,0.0,10.3,1.16,328916631552.0
4519,中外製薬,TOPIX Large70,医薬品,4519.T,上昇トレンド|ブレイク気味|高ボラ（荒い）,9027.15,6265.49,36.12,0.003333,7.0,10.0,17.0,351.79,0.154,6.0,34.72,7.45,15091191775232.0
4523,エーザイ,TOPIX Mid400,医薬品,4523.T,下降トレンド,5098.91,4386.75,15.02,-0.000468,13.0,11.0,24.0,137.86,0.2182,0.0,28.57,1.58,1409455620096.0
4527,ロート製薬,TOPIX Mid400,医薬品,4527.T,上昇トレンド,2659.68,2397.55,10.37,0.000381,9.0,12.0,21.0,68.0,0.1034,0.0,15.7,1.92,550788136960.0
4528,小野薬品工業,TOPIX Mid400,医薬品,4528.T,上昇トレンド|ブレイク気味|高ボラ（荒い）,2485.53,1626.81,41.76,0.003844,7.0,7.0,14.0,67.32,0.1928,6.0,22.47,1.41,1182287659008.0
4530,久光製薬,TOPIX Mid400,医薬品,4530.T,上昇トレンド|ブレイク気味,6440.0,4019.7,46.28,0.004211,12.0,13.0,25.0,77.79,0.0523,2.0,23.2,1.63,437721989120.0
4536,参天製薬,TOPIX Mid400,医薬品,4536.T,上昇トレンド|ブレイク気味,1750.42,1515.9,14.36,0.000911,14.0,21.0,35.0,40.29,0.0455,4.0,18.38,1.93,548290691072.0
4540,ツムラ,TOPIX Mid400,医薬品,4540.T,上昇トレンド,4180.3,3538.11,16.64,0.001509,11.0,20.0,31.0,101.79,0.0553,1.0,11.03,0.98,297791324160.0
4543,テルモ,TOPIX Large70,精密機器,4543.T,下降トレンド|ブレイク気味,2647.28,2021.45,26.81,-0.002122,11.0,8.0,19.0,57.25,0.1386,4.0,21.98,1.89,2871228104704.0
4544,Ｈ．Ｕ．グループホールディングス,TOPIX Mid400,サービス業,4544.T,下降トレンド|ブレイク気味,3922.05,3201.95,20.22,-0.001027,11.0,12.0,23.0,84.29,0.0769,4.0,65.79,1.31,181477621760.0
4568,第一三共,TOPIX Core30,医薬品,4568.T,下降トレンド|ブレイク気味|高ボラ（荒い）,4064.5,2930.85,32.41,-0.001627,9.0,13.0,22.0,107.29,0.1473,3.0,19.72,3.19,5461546369024.0
4578,大塚ホールディングス,TOPIX Large70,医薬品,4578.T,上昇トレンド|ブレイク気味|高ボラ（荒い）,9488.45,7831.25,19.14,0.001827,9.0,9.0,18.0,335.21,0.2138,6.0,15.06,1.8,5445118853120.0
4587,ペプチドリーム,TOPIX Mid400,医薬品,4587.T,レンジ（波型）|高ボラ（荒い）,1737.53,1503.83,14.42,0.000205,13.0,14.0,27.0,60.39,0.1944,1.0,12.37,3.45,181222588416.0
4612,日本ペイントホールディングス,TOPIX Mid400,化学,4612.T,レンジ（波型）|ブレイク気味|高ボラ（荒い）,1074.66,974.79,9.75,0.000225,13.0,15.0,28.0,34.28,0.2326,3.0,16.03,1.58,2858738778112.0
4613,関西ペイント,TOPIX Mid400,化学,4613.T,上昇トレンド|ブレイク気味,2612.12,2349.97,10.57,0.000371,7.0,17.0,24.0,70.11,0.1681,6.0,15.2,1.67,478376722432.0
4626,太陽ホールディングス,TOPIX Mid400,化学,4626.T,上昇トレンド|ブレイク気味|高ボラ（荒い）,5345.0,3716.96,35.93,0.00346,7.0,10.0,17.0,170.86,0.1781,6.0,48.54,5.75,614047875072.0
4631,ＤＩＣ,TOPIX Mid400,化学,4631.T,上昇トレンド|ブレイク気味|高ボラ（荒い）,3973.95,3385.01,16.01,0.00123,7.0,10.0,17.0,119.5,0.2352,6.0,12.56,0.99,406654681088.0
4661,オリエンタルランド,TOPIX Large70,サービス業,4661.T,下降トレンド|ブレイク気味,3643.03,2745.22,28.11,-0.002956,13.0,13.0,26.0,64.21,0.0676,4.0,35.46,4.17,4488173715456.0
4665,ダスキン,TOPIX Mid400,サービス業,4665.T,上昇トレンド,4370.6,3726.9,15.9,0.001357,13.0,17.0,30.0,65.71,0.0536,0.0,21.01,1.3,200880291840.0
4666,パーク２４,TOPIX Mid400,不動産業,4666.T,上昇トレンド,2265.97,1749.92,25.7,0.001347,8.0,17.0,25.0,45.25,0.1061,0.0,25.45,3.77,370174263296.0
4676,フジ・メディア・ホールディングス,TOPIX Mid400,情報・通信業,4676.T,上昇トレンド|高ボラ（荒い）,3956.05,3252.2,19.53,0.00131,14.0,10.0,24.0,153.86,0.1884,0.0,21.46,0.91,731170930688.0
4680,ラウンドワン,TOPIX Mid400,サービス業,4680.T,下降トレンド,1559.86,979.36,45.72,-0.002826,7.0,12.0,19.0,37.35,0.1738,0.0,16.7,3.33,257483948032.0
