code,name,ticker,sector_33,size_category,slope_past,slope_recent,signal_strength,rebound_pct,today_close,recent_low,per,pbr,wave_types,market_cap
3205,ダイドーリミテッド,3205.T,繊維製品,TSE Standard Top400,-0.00238,0.00184,4.22,6.9,708.0,662.0,10.39,1.91,下降トレンド,19394859008.0
4544,Ｈ．Ｕ．グループホールディングス,4544.T,サービス業,TOPIX Mid400,-0.00118,0.00291,4.1,11.9,3462.0,3093.0,28.48,1.4,下降トレンド,191707070464.0
7299,フジオーゼックス,7299.T,輸送用機器,TSE Standard Top400,-0.00222,0.00188,4.1,8.4,1720.0,1586.0,8.08,0.53,下降トレンド|高ボラ（荒い）,16912713728.0
8725,ＭＳ＆ＡＤインシュアランスグループホールディングス,8725.T,保険業,TOPIX Large70,-0.00173,0.00223,3.96,16.9,4597.0,3931.0,8.69,1.4,上昇トレンド|ブレイク気味,6669968867328.0
7313,テイ・エス　テック,7313.T,輸送用機器,TOPIX Mid400,-0.00201,0.00191,3.91,6.4,1810.0,1701.0,40.12,0.68,下降トレンド,211200131072.0
1376,カネコ種苗,1376.T,水産・農林業,TSE Standard Top400,-0.00248,0.00139,3.87,6.1,1440.0,1357.6,12.39,0.62,下降トレンド,15791110144.0
8334,群馬銀行,8334.T,銀行業,TOPIX Mid400,-0.00238,0.00125,3.63,14.1,2313.0,2026.5,14.94,1.41,上昇トレンド|ブレイク気味|高ボラ（荒い）,875470913536.0
2503,キリンホールディングス,2503.T,食料品,TOPIX Large70,-0.00132,0.00226,3.58,9.9,2719.5,2474.0,14.93,1.67,上昇トレンド,2177572274176.0
8233,高島屋,8233.T,小売業,TOPIX Mid400,-0.00141,0.00212,3.52,9.0,2014.0,1848.0,15.29,1.31,未分類,590130970624.0
8601,大和証券グループ本社,8601.T,証券、商品先物取引業,TOPIX Mid400,-0.00102,0.0022,3.22,8.2,1563.0,1445.0,12.59,1.22,未分類,2165751676928.0
1963,日揮ホールディングス,1963.T,建設業,TOPIX Mid400,-0.00065,0.00231,2.97,8.1,2528.5,2339.0,14.62,1.42,上昇トレンド|高ボラ（荒い）,611519496192.0
2923,サトウ食品,2923.T,食料品,TSE Standard Top100,-0.00061,0.00232,2.93,8.7,7350.0,6760.0,11.83,1.42,下降トレンド,37070540800.0
3611,マツオカコーポレーション,3611.T,繊維製品,TSE Standard Top400,-0.00063,0.00226,2.89,7.6,2226.0,2068.0,8.07,0.58,下降トレンド,23369523200.0
4666,パーク２４,4666.T,不動産業,TOPIX Mid400,-0.00179,0.00107,2.86,5.9,1852.5,1750.0,21.74,4.45,下降トレンド,316158541824.0
4977,新田ゼラチン,4977.T,化学,TSE Standard Top400,-0.00066,0.00214,2.8,8.9,1254.0,1151.0,6.95,0.94,レンジ（波型）,22839209984.0
8410,セブン銀行,8410.T,銀行業,TOPIX Mid400,-0.00136,0.0014,2.76,8.8,286.0,262.9,23.54,1.19,下降トレンド,334043643904.0
6758,ソニーグループ,6758.T,電気機器,TOPIX Core30,-0.00091,0.00168,2.59,8.7,3385.0,3113.0,19.74,2.46,下降トレンド,19934235066368.0
4626,太陽ホールディングス,4626.T,化学,TOPIX Mid400,-0.00081,0.00127,2.08,5.1,4996.0,4753.0,30.37,4.8,レンジ（波型）,555938676736.0
5938,ＬＩＸＩＬ,5938.T,金属製品,TOPIX Mid400,-0.00073,0.00134,2.07,8.5,1739.0,1603.5,61.3,0.75,下降トレンド,500083097600.0
354A,ｉＦｒｅｅＥＴＦ　ブルームバーグ日本株高配当５０指数,354A.T,ETF・ETN,ETF,-0.00079,0.00121,2.01,5.6,3007.0,2847.0,10.18,,未分類,
9502,中部電力,9502.T,電気・ガス業,TOPIX Mid400,-0.00056,0.00132,1.88,7.1,2755.0,2572.5,9.13,0.66,上昇トレンド|ブレイク気味|高ボラ（荒い）,2081109180416.0
