date,code,name,market,size_category,ticker,pick_type,latest_close,range_high,range_low,range_pct,position_pct,slope,touch_high,touch_low,atr,rsi,rsi_signal
2026-06-10,6378,木村化工機,TSE Standard,TSE Standard Top400,6378.T,下タッチ（買い候補）,1143.0,1597.29,1168.75,30.99,-6.0,0.000234,7,12,50.29,43.4,下落中（様子見）
2026-06-10,7309,シマノ,TSE Prime,TOPIX Large70,7309.T,下タッチ（買い候補）,15890.0,17759.5,15970.75,10.61,-4.5,-0.000236,8,10,406.79,28.6,売られすぎ（反発期待）
2026-06-10,5909,コロナ,TSE Standard,TSE Standard Top400,5909.T,下タッチ（買い候補）,910.0,1019.54,913.8,10.94,-3.6,-0.000233,7,15,12.64,41.7,下落中（様子見）
2026-06-10,1328,ＮＥＸＴ　ＦＵＮＤＳ　金価格連動型上場投信,TSE Prime,ETF,1328.T,下タッチ（買い候補）,15970.0,19298.0,16084.0,18.17,-3.5,2e-05,14,10,273.57,29.6,売られすぎ（反発期待）
2026-06-10,1802,大林組,TSE Prime,TOPIX Mid400,1802.T,下タッチ（買い候補）,3104.0,4231.25,3130.1,29.92,-2.4,-0.000113,8,7,109.86,41.1,下落中（様子見）
2026-06-10,1787,ナカボーテック,TSE Standard,TSE Standard Top400,1787.T,下タッチ（買い候補）,5150.0,6180.43,5169.0,17.82,-1.9,1.3e-05,13,14,83.57,45.7,下落中（様子見）
2026-06-10,8001,伊藤忠商事,TSE Prime,TOPIX Core30,8001.T,下タッチ（買い候補）,1855.5,2210.18,1860.49,17.18,-1.4,-0.000276,10,11,37.36,26.8,売られすぎ（反発期待）
2026-06-10,146A,コロンビア・ワークス,TSE Standard,TSE Standard Top400,146A.T,下タッチ（買い候補）,2694.0,4345.75,2711.2,46.32,-1.1,-0.000117,11,7,116.79,28.2,売られすぎ（反発期待）
2026-06-10,2229,カルビー,TSE Prime,TOPIX Mid400,2229.T,下タッチ（買い候補）,2854.0,3137.25,2854.95,9.42,-0.3,-0.000211,14,12,49.07,29.5,売られすぎ（反発期待）
2026-06-10,1811,錢高組,TSE Standard,TSE Standard Top100,1811.T,下タッチ（買い候補）,7510.0,9181.87,7512.9,19.99,-0.2,0.000221,11,8,340.71,43.3,下落中（様子見）
2026-06-10,4922,コーセーホールディングス,TSE Prime,TOPIX Mid400,4922.T,下タッチ（買い候補）,5217.0,6126.5,5216.95,16.04,0.0,0.000168,8,18,129.21,50.0,割高（様子見）
